City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,74.39,light rain,-23.1203,-134.9692,People ThankYou
1,Juba,SS,72.23,light rain,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
2,Progreso,MX,88.11,few clouds,21.2833,-89.6667,Playa Linda Hotel
5,Iberia,US,86.09,clear sky,29.9502,-91.7507,back to back rv park
8,Vaini,TO,80.76,light rain,-21.2,-175.2,Keleti Beach Resort
11,Mahebourg,MU,73.26,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
13,Mapimi,MX,90.37,clear sky,25.8167,-103.85,Propiedad Lldm
14,Hilo,US,78.8,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
16,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
22,Uarini,BR,89.55,overcast clouds,-2.99,-65.1083,
24,Bambous Virieux,MU,73.22,few clouds,-20.3428,57.7575,Casa Tia Villa
25,Molepolole,BW,71.33,clear sky,-24.4066,25.4951,Butterfly Tree Guesthouse
27,Tura,IN,73.24,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
28,Labuhan,ID,77.59,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
31,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
32,Martapura,ID,75.29,mist,-3.4167,114.85,Montana Hotel Syariah
37,Agua Blanca,GT,84.99,overcast clouds,14.5,-89.65,HOTEL CASA JUAN MANUEL
40,Kapaa,US,84.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
41,Isangel,VU,74.77,scattered clouds,-19.55,169.2667,Tanna Lodge
45,Laguna,US,77.23,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
46,Makakilo City,US,82.72,light intensity drizzle,21.3469,-158.0858,Marriott's Ko Olina Beach Club
47,Eluru,IN,77.63,scattered clouds,16.7,81.1,SRI KRISHNA RESIDENCY
49,Anahuac,MX,92.7,clear sky,27.2333,-100.15,HOTEL SAN FELIPE
52,Penon Blanco,MX,83.75,clear sky,24.7897,-104.0369,
56,Ribeira Grande,PT,71.15,broken clouds,38.5167,-28.7,Quinta da Meia Eira
58,Ahuimanu,US,83.91,light rain,21.4447,-157.8378,Paradise Bay Resort
65,Chiautla,MX,76.95,broken clouds,19.5333,-98.8833,Xcoco Inn
71,Victoria,HK,81.25,light rain,22.2855,114.1577,Mini Hotel Central
72,Mayo,US,72.03,few clouds,38.8876,-76.5119,Resorts Resource Group International
74,Kieta,PG,82.11,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
75,Lompoc,US,78.94,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
76,Tevaitoa,PF,77.99,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
77,Grand Gaube,MU,73.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
78,Hithadhoo,MV,82.56,overcast clouds,-0.6,73.0833,Scoop Guest House
80,Butaritari,KI,82.76,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
84,Bara,NG,77.29,overcast clouds,10.3744,10.7288,
91,Caconda,AO,70.14,few clouds,-13.7333,15.0667,
92,Point Pedro,LK,82.09,overcast clouds,9.8167,80.2333,Gtr homes
102,Atuona,PF,78.12,clear sky,-9.8,-139.0333,Villa Enata
106,Mana,GF,81.66,overcast clouds,5.6592,-53.7767,LE SAMANA
107,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
111,Zhuhai,CN,80.98,heavy intensity shower rain,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
113,Amuntai,ID,74.59,overcast clouds,-2.4177,115.2494,Hotel Balqis
114,Seguela,CI,73.94,scattered clouds,7.9611,-6.6731,Hotel le Carrefour
115,Ligayan,PH,82.81,moderate rain,4.6533,119.4706,
116,Poum,NC,74.01,few clouds,-20.2333,164.0167,Gîte kajeon
118,Rosarito,MX,75.58,few clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
130,Kyaikkami,MM,79.41,overcast clouds,16.08,97.5675,St. joseph catholic church
131,Sola,VU,78.46,scattered clouds,-13.8833,167.55,Leumerus Bungalows
134,Katsuura,JP,70.2,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
136,Portales,US,93.33,clear sky,34.1862,-103.3344,"Holiday Inn Express & Suites Portales, an IHG Hotel"
137,Banfora,BF,79.79,few clouds,10.6333,-4.7667,Residences David Hebié
140,Caucasia,CO,82.2,broken clouds,7.9865,-75.1935,Hotel San Rafael
141,Saint George,US,74.43,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
142,Todos Santos,MX,96.01,clear sky,23.45,-110.2167,Hotel California Todos Santos
143,Faanui,PF,78.37,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
145,Castanos,MX,91.62,clear sky,26.7833,-101.4167,Bomberos voluntarios castaños coahuila
148,Kavieng,PG,81.9,light rain,-2.5744,150.7967,Nusa Island Retreat
150,Celestun,MX,84.6,scattered clouds,20.8667,-90.4,Posada Lilia
154,Saint-Philippe,RE,71.19,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
162,Narasannapeta,IN,78.24,few clouds,18.4167,84.05,G.lingaraju home
163,Kayes,ML,81.99,broken clouds,14.0,-11.0,
164,Turayf,SA,72.77,clear sky,31.6725,38.6637,Turaif
169,Cacoal,BR,90.19,overcast clouds,-11.4386,-61.4472,Hotel BR 364
170,Meulaboh,ID,76.35,overcast clouds,4.1363,96.1285,Kost Pria
171,Hambantota,LK,79.14,overcast clouds,6.1241,81.1185,Bungalow 63
172,Hirado,JP,75.38,scattered clouds,33.3597,129.5531,Samson Hotel
173,Durango,MX,79.88,clear sky,24.8333,-104.8333,
174,Rawson,AR,71.08,clear sky,-43.3002,-65.1023,Hosteria Sampedro
177,Luanda,AO,72.99,broken clouds,-8.8368,13.2343,Hotel Fórum
180,Vicksburg,US,85.68,clear sky,32.3526,-90.8779,La Quinta Inn & Suites by Wyndham Vicksburg
181,Souillac,MU,73.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
184,Kahului,US,79.86,light rain,20.8947,-156.47,Maui Seaside Hotel
190,Nioro,GM,78.49,overcast clouds,13.35,-15.75,
194,Cukai,MY,77.47,broken clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
198,Las Margaritas,MX,73.18,overcast clouds,16.3167,-91.9833,Fam Esponda Arguello
202,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
204,Camopi,GF,75.7,overcast clouds,3.1655,-52.3158,La pousada
205,Sawtell,AU,79.18,scattered clouds,-30.3833,153.1,Island Beach House Sawtell
209,Butte,US,75.56,clear sky,39.6499,-121.5677,Meadowbrook Oaks Mobile Home Park
212,Padang,ID,77.05,scattered clouds,-0.9492,100.3543,Mercure Padang
216,Doha,QA,89.58,clear sky,25.2867,51.5333,Movenpick Hotel Doha
218,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
219,Fortuna,US,74.19,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
222,Ugoofaaru,MV,82.85,overcast clouds,5.6667,73.0,Ungoofaaru Inn
224,Mount Isa,AU,85.77,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
